,loss,memory,time
0,0.9271490066896904,0.115907,0.18151092529296875
1,0.9358717780774983,0.133755,0.2711961269378662
2,0.9437313484952197,0.145991,0.3731389045715332
3,0.9498709973156302,0.163842,0.574882984161377
4,0.9542651889127762,0.189092,0.7892100811004639
5,0.958635345895793,0.213881,0.9904031753540039
6,0.962896406313906,0.234608,1.1292338371276855
7,0.9670020478163366,0.246105,1.1745407581329346
8,0.9724243630374357,0.23591,1.3167648315429688
9,0.9775880751027536,0.250918,1.2519161701202393
10,0.9848629200661131,0.283662,1.6155383586883545
11,0.991925282511121,0.314118,1.9338829517364502
12,0.9983806959945575,0.321022,2.0607030391693115
13,1.0044584229093596,0.327326,2.161868095397949
14,1.0104864987889737,0.307214,1.9175071716308594
15,1.016460380928911,0.309598,1.9144001007080078
16,1.0225729479716998,0.293654,1.894144058227539
17,1.0288872513402114,0.301502,1.998124122619629
18,1.0355314144250811,0.247766,2.03417706489563
19,1.0425144025369903,0.282006,2.054643154144287
20,1.0497584729384504,0.291462,1.9275591373443604
21,1.0571631225075533,0.30991,2.163424015045166
22,1.0645704876682172,0.32011,2.0066540241241455
23,1.0721219184085276,0.336414,2.353749990463257
24,1.079545214503713,0.48227,2.278899908065796
25,1.0871763272289785,0.483702,2.4219157695770264
26,1.0946712250269306,0.483542,2.3394358158111572
27,1.1024851549029724,0.491734,2.413148880004883
28,1.110086446392122,0.486406,2.3666348457336426
29,1.1181299911178937,0.49767,2.460196018218994
30,1.125688837711731,0.456694,2.2916259765625
31,1.1346302497035698,0.514356,2.2586679458618164
32,1.140219563008788,0.517088,2.28587007522583
33,1.146618589348377,0.512976,2.15653395652771
34,1.1549560916630868,0.532925,2.126224994659424
35,1.1624794893319281,0.552933,2.2335360050201416
36,1.171087759157227,0.550485,2.082669973373413
37,1.1795723850941295,0.531085,2.3131048679351807
38,1.1883393621114717,0.554141,2.2044947147369385
39,1.1962717450682276,0.560333,2.5876729488372803
40,1.2049723731876343,0.531637,2.2984440326690674
41,1.2133020125445535,0.554309,2.626228094100952
42,1.2224135387476116,0.550909,2.4384241104125977
43,1.2305872981470793,0.546325,2.5069544315338135
44,1.2404514439115066,0.662829,2.33882999420166
45,1.2435752241246985,0.719061,4.399346828460693
46,1.2484145827226591,0.772277,4.7017271518707275
47,1.2533493046470525,0.700957,3.9733240604400635
48,1.2591690688816655,0.646341,3.6330339908599854
49,1.2677612583681297,0.598085,2.7778642177581787
50,1.2803152649101053,0.796069,3.6412742137908936
51,1.2850388255534033,3.061552,5.475981950759888
52,1.2893578044238094,3.08879,4.718106746673584
53,1.2929713067073034,3.082614,4.617940902709961
54,1.2970747971873426,3.042457,4.602231025695801
55,1.301472666659922,2.992057,4.3518290519714355
56,1.306477669291024,3.001792,4.233205080032349
57,1.3121359986444885,2.996656,4.174918174743652
58,1.319368197548232,2.934976,3.703418254852295
59,1.3280392925609026,2.889761,3.6374311447143555
60,1.337241986674001,2.935281,3.6195831298828125
61,1.3458108227316572,2.828217,3.7662911415100098
62,1.355389690214845,2.899359,3.5918493270874023
63,1.364248654033782,2.896877,3.543550968170166
64,1.3739924916534163,2.898512,3.4454050064086914
65,1.383195288063515,2.824424,3.572256088256836
66,1.3927457426792533,2.882626,3.573153018951416
67,1.4023461418265983,2.903573,3.643676280975342
68,1.41194442307092,2.895581,3.634960889816284
69,1.4217701677704264,2.849229,3.693418025970459
70,1.4313956510316679,2.883597,3.6176209449768066
71,1.441361313807788,2.929653,3.5997049808502197
72,1.4510815913313542,2.908308,3.5786800384521484
73,1.4610767224256798,2.910852,3.68522310256958
74,1.4709305194368516,2.901999,3.5912981033325195
75,1.4810670133749637,2.921191,3.5735459327697754
76,1.4910546824568711,2.848383,3.5335609912872314
77,1.5013141253911853,2.910615,3.631373167037964
78,1.5113630017625754,2.916895,3.6629979610443115
79,1.5218058775861212,2.934687,3.670027017593384
